frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
177.82794100389228,1117.3259061216543,1.2996628600726223e-09,1.064473789764034e-11,5.7477396920490225e-08,8.099867406349879e-09,5.8777059780562844e-08,8.11051214424752e-09,0.000962713229683424,7.884991035289141e-06,0.0425758495707335,0.005999901782481392,0.04353856280041692,0.0060077867735166815,0.08653856280041691,0.006008577840258216
237.13737056616552,1489.978042524532,1.2998098166319173e-09,7.990120620811213e-12,5.891295916601945e-08,7.436841574276724e-09,6.021276898265137e-08,7.4448316948975355e-09,0.0009628220863940129,5.918607867267565e-06,0.043639229011866267,0.005508771536501277,0.04460205109826028,0.005514690144368545,0.08760205109826028,0.005515745048822652
316.22776601683796,1986.9176531592204,1.2998928610650584e-09,5.9950194151374255e-12,6.020900540120303e-08,6.7802617666926115e-09,6.15088982622681e-08,6.786256786107749e-09,0.0009628836007889322,4.440755122324019e-06,0.044599263260150394,0.005022416123476009,0.04556214686093933,0.0050268568785983335,0.08856214686093933,0.00502826361629677
421.6965034285823,2649.597274431474,1.299939690485108e-09,4.4970183395992434e-12,6.13744647294195e-08,6.134632260083752e-09,6.267440441990461e-08,6.139129278423351e-09,0.0009629182892482281,3.3311246959994397e-06,0.04546256646623667,0.0045441720445064835,0.0464254847554849,0.004547503169202482,0.0894254847554849,0.00454937908407278
562.341325190349,3533.2947520558987,1.2999660661348483e-09,3.372875068539912e-12,6.241269117039131e-08,5.5010591937669325e-09,6.371265723652616e-08,5.504432068835472e-09,0.0009629378267665544,2.4984259766962313e-06,0.046231623089178754,0.00407485866204958,0.04719456091594531,0.004077357088026276,0.0901945609159453,0.004079858660710731
749.8942093324558,4711.72427801674,1.2999809114564337e-09,2.5295474586678075e-12,6.3322744396172e-08,4.883877142372655e-09,6.462272530762843e-08,4.886406689831323e-09,0.000962948823301062,1.8737388582724501e-06,0.04690573658975704,0.003617686772127893,0.0478686854130581,0.0036195605109861652,0.09086868541305809,0.0036228964117750013
1000.0,6283.185307179586,1.2999892637822505e-09,1.8969976611970394e-12,6.410509876005917e-08,4.292960981668464e-09,6.540508802384142e-08,4.294857979329661e-09,0.0009629550102090745,1.4051834527385477e-06,0.04748525834078457,0.0031799710975321956,0.04844821335099365,0.0031813762809849346,0.09144821335099365,0.0031858247761824177
1333.521432163324,8378.762269377678,1.2999939619668401e-09,1.4225917236543828e-12,6.47658684383656e-08,3.740627131185404e-09,6.606586240033245e-08,3.742049722909059e-09,0.0009629584903458076,1.0537716471513948e-06,0.0479747173617523,0.0027708349119891884,0.048937675852098114,0.00277188868363634,0.09193767585209811,0.0027778208473230592
1778.2794100389228,11173.259061216542,1.2999966043701035e-09,1.0668119245372533e-12,6.531669210000899e-08,3.2375999908912303e-09,6.66166887043791e-08,3.2386668028157676e-09,0.0009629604476815583,7.902310552127803e-07,0.04838273488889555,0.0023982222154749857,0.049345695336577115,0.0023990124465301985,0.0923456953365771,0.0024069231139455397
2371.373705661655,14899.78042524532,1.299998090435517e-09,8.000039416524341e-13,6.57728557353233e-08,2.7911858002643575e-09,6.707285382575882e-08,2.79198580420601e-09,0.0009629615484707534,5.925955123351364e-07,0.04872063387801726,0.0020675450372328575,0.049683595426488016,0.0020681376327451925,0.09268359542648802,0.0020786866772862663
