frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
237137.37056616557,1489978.0425245322,interfacial,paper,0.0,0.0,0.043,0.0010549044541073689,0.0,9.230413973439478e-05
316227.7660168379,1986917.65315922,interfacial,paper,0.0,0.0,0.043,0.0014067376984367279,0.0,0.0001230895486132137
421696.5034285823,2649597.274431474,interfacial,paper,0.0,0.0,0.043,0.0018759148702974836,0.0,0.00016414255115102983
562341.3251903491,3533294.7520558992,interfacial,paper,0.0,0.0,0.043,0.002501572684455577,0.0,0.00021888760988986297
749894.2093324559,4711724.27801674,interfacial,paper,0.0,0.0,0.043,0.0033359007888358523,0.0,0.0002918913190231371
1000000.0,6283185.307179586,interfacial,paper,0.0,0.0,0.043,0.004448495197483147,0.0,0.0003892433297797754
1333521.432163324,8378762.269377677,interfacial,paper,0.0,0.0,0.043,0.005932163686719396,0.0,0.0005190643225879471
1778279.410038923,11173259.061216542,interfacial,paper,0.0,0.0,0.043,0.007910667415341313,0.0,0.0006921833988423648
2371373.7056616554,14899780.425245322,interfacial,paper,0.0,0.0,0.043,0.010549044541073688,0.0,0.0009230413973439478
3162277.6601683795,19869176.5315922,interfacial,paper,0.0,0.0,0.043,0.01406737698436728,0.0,0.001230895486132137
4216965.034285823,26495972.74431474,interfacial,paper,0.0,0.0,0.043,0.018759148702974838,0.0,0.0016414255115102983
5623413.251903491,35332947.52055899,interfacial,paper,0.0,0.0,0.043,0.025015726844555768,0.0,0.0021888760988986295
7498942.093324558,47117242.78016739,interfacial,paper,0.0,0.0,0.043,0.033359007888358515,0.0,0.00291891319023137
10000000.0,62831853.071795866,interfacial,paper,0.0,0.0,0.043,0.044484951974831474,0.0,0.003892433297797754
13335214.32163324,83787622.69377677,interfacial,paper,0.0,0.0,0.043,0.05932163686719396,0.0,0.005190643225879471
17782794.100389227,111732590.61216542,interfacial,paper,0.0,0.0,0.043,0.07910667415341312,0.0,0.006921833988423648
23713737.056616552,148997804.2524532,interfacial,paper,0.0,0.0,0.043,0.10549044541073688,0.0,0.009230413973439476
31622776.60168379,198691765.315922,interfacial,paper,0.0,0.0,0.043,0.14067376984367277,0.0,0.012308954861321369
42169650.34285823,264959727.4431474,interfacial,paper,0.0,0.0,0.043,0.18759148702974837,0.0,0.016414255115102982
56234132.51903491,353329475.2055899,interfacial,paper,0.0,0.0,0.043,0.25015726844555763,0.0,0.021888760988986296
74989420.93324558,471172427.801674,interfacial,paper,0.0,0.0,0.043,0.3335900788835852,0.0,0.029189131902313706
100000000.0,628318530.7179586,interfacial,paper,0.0,0.0,0.043,0.4448495197483147,0.0,0.03892433297797754
133352143.2163324,837876226.9377677,interfacial,paper,0.0,0.0,0.043,0.5932163686719396,0.0,0.05190643225879472
177827941.00389227,1117325906.1216545,interfacial,paper,0.0,0.0,0.043,0.7910667415341315,0.0,0.06921833988423651
237137370.56616557,1489978042.524532,interfacial,paper,0.0,0.0,0.043,1.0549044541073687,0.0,0.09230413973439476
316227766.01683795,1986917653.15922,interfacial,paper,0.0,0.0,0.043,1.406737698436728,0.0,0.12308954861321368
421696503.4285823,2649597274.431474,interfacial,paper,0.0,0.0,0.043,1.875914870297484,0.0,0.16414255115102983
562341325.1903491,3533294752.055899,interfacial,paper,0.0,0.0,0.043,2.5015726844555766,0.0,0.21888760988986297
749894209.3324559,4711724278.01674,interfacial,paper,0.0,0.0,0.043,3.335900788835852,0.0,0.29189131902313703
1000000000.0,6283185307.179586,interfacial,paper,0.0,0.0,0.043,4.4484951974831475,0.0,0.3892433297797754
