frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
10,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
10,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
10,1.0,grain,0.013001100757662025,1.2333450083497345e-09,1e-08,0.0
10,2.5,grain,0.013001100758822822,4.933385235867893e-10,1e-08,0.0
10,10.0,grain,0.013001100759030108,1.2333465412203405e-10,1e-08,0.0
10,100.0,grain,0.01300110075904379,1.2333465565490652e-11,1e-08,0.0
10,1000.0,grain,0.013001100759043926,1.233346556702353e-12,1e-08,0.0
10,10000.0,grain,0.013001100759043926,1.2333465567038853e-13,1e-08,0.0
10,1.0,all,0.013001100757662025,5.681840205832882e-09,1e-08,4.726526147325844e-10
10,2.5,all,0.013001100758822822,1.1614576517294658e-08,1e-08,1.1816315368314611e-09
10,10.0,all,0.013001100759030108,4.460828662895351e-08,1e-08,4.7265261473258444e-09
10,100.0,all,0.01300110075904379,4.4486185321388024e-07,1e-08,4.7265261473258444e-08
10,1000.0,all,0.013001100759043926,4.448496430829703e-06,1e-08,4.726526147325844e-07
10,10000.0,all,0.013001100759043926,4.448495209816614e-05,1e-08,4.726526147325844e-06
11,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
11,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
11,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
11,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
11,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
11,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
11,1.0,grain,0.01300107970662298,1.3154592581831217e-09,1e-08,0.0
11,2.5,grain,0.013001079707969236,5.261843593578565e-10,1e-08,0.0
11,10.0,grain,0.01300107970820964,1.3154611912899857e-10,1e-08,0.0
