frequency_hz,metric,full350_value,reference_table,reference_frequency_hz,reference_value,absolute_error,relative_error,relative_residual_norm,iterations,info
1000.0,real_conductivity_vs_figure7_simulation,0.00557206778425656,figure7_simulation_real,1000.0,0.00291680979233333,0.00265525799192323,0.9103294972824165,9.95826180813679e-06,70,0
1000.0,real_conductivity_vs_figure7_experiment,0.00557206778425656,figure7_experiment_real,1000.0,0.00273526287806537,0.00283680490619119,1.0371233159854967,9.95826180813679e-06,70,0
1000.0,imaginary_conductivity_vs_figure8_simulation,0.00019566772959183674,figure8_simulation_all,1000.0,2.39107321e-05,0.00017175699749183676,7.183259666559383,9.95826180813679e-06,70,0
1000.0,imaginary_conductivity_vs_figure8_experiment,0.00019566772959183674,figure8_experiment,1000.0,3.1284565607207e-05,0.00016438316398462974,5.254449304124617,9.95826180813679e-06,70,0
1000.0,real_relative_permittivity_vs_figure8_simulation,3517.1477075615735,figure8_simulation_all,1000.0,430.21936917485334,3086.92833838672,7.175242584515308,9.95826180813679e-06,70,0
1000.0,real_relative_permittivity_vs_figure8_experiment,3517.1477075615735,figure8_experiment,1000.0,562.8947714420633,2954.25293611951,5.248321864051247,9.95826180813679e-06,70,0
10000.0,real_conductivity_vs_figure6_experiment,0.0057117004373177845,figure6_conductivity_experiment,10000.0,0.00277562147239663,0.0029360789649211546,1.0578095731425425,9.354819734068699e-06,418,0
10000.0,imaginary_conductivity_vs_figure6_experiment,7.881437340561225e-05,figure6_conductivity_experiment,10000.0,6.67443517419181e-05,1.2070021663694152e-05,0.1808395968900197,9.354819734068699e-06,418,0
10000.0,real_conductivity_vs_figure7_simulation,0.0057117004373177845,figure7_simulation_real,10000.0,0.00295325849833333,0.0027584419389844544,0.9340333535114449,9.354819734068699e-06,418,0
10000.0,real_conductivity_vs_figure7_experiment,0.0057117004373177845,figure7_experiment_real,10000.0,0.00277562147239663,0.0029360789649211546,1.0578095731425425,9.354819734068699e-06,418,0
10000.0,imaginary_conductivity_vs_figure8_simulation,7.881437340561225e-05,figure8_simulation_all,10000.0,5.94759149e-05,1.933845850561225e-05,0.32514772640533607,9.354819734068699e-06,418,0
10000.0,imaginary_conductivity_vs_figure8_experiment,7.881437340561225e-05,figure8_experiment,10000.0,6.67443517419181e-05,1.2070021663694152e-05,0.1808395968900197,9.354819734068699e-06,418,0
10000.0,real_relative_permittivity_vs_figure8_simulation,141.66965259151033,figure8_simulation_all,10000.0,107.01341340098601,34.65623919052432,0.323849488481086,9.354819734068699e-06,418,0
10000.0,real_relative_permittivity_vs_figure8_experiment,141.66965259151033,figure8_experiment,10000.0,120.09131624369012,21.578336347820212,0.17968273662712886,9.354819734068699e-06,418,0
100000.0,real_conductivity_vs_figure6_experiment,0.005765720116618,figure6_conductivity_experiment,45000.0,0.00276085704419195,0.0030048630724260504,1.0883805370319406,9.254215753889592e-06,205,0
100000.0,imaginary_conductivity_vs_figure6_experiment,0.0001925832042638,figure6_conductivity_experiment,45000.0,0.000198601406505042,-6.018202241242005e-06,-0.030302918529880693,9.254215753889592e-06,205,0
100000.0,real_conductivity_vs_figure7_simulation,0.005765720116618,figure7_simulation_real,100000.0,0.003199295839,0.002566424277618,0.8021841076191891,9.254215753889592e-06,205,0
100000.0,real_conductivity_vs_figure7_experiment,0.005765720116618,figure7_experiment_real,45000.0,0.00276085704419195,0.0030048630724260504,1.0883805370319406,9.254215753889592e-06,205,0
100000.0,imaginary_conductivity_vs_figure8_simulation,0.0001925832042638,figure8_simulation_all,100000.0,0.000188495993,4.087211263799996e-06,0.02168327930344915,9.254215753889592e-06,205,0
100000.0,imaginary_conductivity_vs_figure8_experiment,0.0001925832042638,figure8_experiment,45000.0,0.000198601406505042,-6.018202241242005e-06,-0.030302918529880693,9.254215753889592e-06,205,0
100000.0,real_relative_permittivity_vs_figure8_simulation,34.617030452810305,figure8_simulation_all,100000.0,33.915576846953826,0.7014536058564786,0.02068234336752791,9.254215753889592e-06,205,0
100000.0,real_relative_permittivity_vs_figure8_experiment,34.617030452810305,figure8_experiment,45000.0,79.4084815754603,-44.791451122649995,-0.5640638157787411,9.254215753889592e-06,205,0
1000000.0,real_conductivity_vs_figure6_experiment,0.006039804664723,figure6_conductivity_experiment,45000.0,0.00276085704419195,0.00327894762053105,1.1876557054734196,9.580880978752527e-06,84,0
1000000.0,imaginary_conductivity_vs_figure6_experiment,0.0014196493258017,figure6_conductivity_experiment,45000.0,0.000198601406505042,0.001221047919296658,6.1482339968506645,9.580880978752527e-06,84,0
1000000.0,real_conductivity_vs_figure7_simulation,0.006039804664723,figure7_simulation_real,1000000.0,0.00373976817366667,0.00230003649105633,0.6150211414846205,9.580880978752527e-06,84,0
1000000.0,real_conductivity_vs_figure7_experiment,0.006039804664723,figure7_experiment_real,1096520.5777,0.0032346659386871166,0.0028051387260358833,0.8672112605156471,9.580880978752527e-06,84,0
1000000.0,imaginary_conductivity_vs_figure8_simulation,0.0014196493258017,figure8_simulation_all,1000000.0,0.000943766208,0.0004758831178016999,0.5042383524307112,9.580880978752527e-06,84,0
1000000.0,imaginary_conductivity_vs_figure8_experiment,0.0014196493258017,figure8_experiment,1096520.5777,0.00283482201673354,-0.0014151726909318403,-0.49921042047023856,9.580880978752527e-06,84,0
1000000.0,real_relative_permittivity_vs_figure8_simulation,25.518343684982863,figure8_simulation_all,1000000.0,16.980931447695127,8.537412237287736,0.5027646606774651,9.580880978752527e-06,84,0
1000000.0,real_relative_permittivity_vs_figure8_experiment,25.518343684982863,figure8_experiment,1096520.5777,46.516400000000026,-20.998056315017163,-0.45141189591234815,9.580880978752527e-06,84,0
100000000.0,real_conductivity_vs_figure6_experiment,0.0085924067055393,figure6_conductivity_experiment,45000.0,0.00276085704419195,0.005831549661347349,2.1122244172747933,8.362016307389232e-06,14,0
100000000.0,imaginary_conductivity_vs_figure6_experiment,0.0874888862973761,figure6_conductivity_experiment,45000.0,0.000198601406505042,0.08729028489087105,439.52500854345647,8.362016307389232e-06,14,0
100000000.0,real_conductivity_vs_figure7_simulation,0.0085924067055393,figure7_simulation_real,100000000.0,0.00419043695266667,0.004401969752872629,1.0504798909028679,8.362016307389232e-06,14,0
100000000.0,real_conductivity_vs_figure7_experiment,0.0085924067055393,figure7_experiment_real,93235280.6822,0.015515622868733025,-0.006923216163193725,-0.44620936083367574,8.362016307389232e-06,14,0
100000000.0,imaginary_conductivity_vs_figure8_simulation,0.0874888862973761,figure8_simulation_all,100000000.0,0.0698156357,0.017673250597376094,0.2531417270669655,8.362016307389232e-06,14,0
100000000.0,imaginary_conductivity_vs_figure8_experiment,0.0874888862973761,figure8_experiment,93235280.6822,0.0960322724394403,-0.008543386142064208,-0.08896369860925474,8.362016307389232e-06,14,0
100000000.0,real_relative_permittivity_vs_figure8_simulation,15.72621793689833,figure8_simulation_all,100000000.0,12.561739483248767,3.164478453649563,0.2519140329147435,8.362016307389232e-06,14,0
100000000.0,real_relative_permittivity_vs_figure8_experiment,15.72621793689833,figure8_experiment,93235280.6822,18.5325,-2.806282063101669,-0.15142490560375932,8.362016307389232e-06,14,0
1000000000.0,real_conductivity_vs_figure6_experiment,0.0086189584548104,figure6_conductivity_experiment,45000.0,0.00276085704419195,0.005858101410618451,2.1218416299178595,2.4810072333421635e-06,11,0
1000000000.0,imaginary_conductivity_vs_figure6_experiment,0.8726728396501459,figure6_conductivity_experiment,45000.0,0.000198601406505042,0.8724742382436408,4393.091940270277,2.4810072333421635e-06,11,0
1000000000.0,real_conductivity_vs_figure7_simulation,0.0086189584548104,figure7_simulation_real,1000000000.0,0.00414905052933333,0.00446990792547707,1.0773327280242344,2.4810072333421635e-06,11,0
1000000000.0,real_conductivity_vs_figure7_experiment,0.0086189584548104,figure7_experiment_real,859729899.463,0.04396991162218649,-0.03535095316737609,-0.8039805372166948,2.4810072333421635e-06,11,0
1000000000.0,imaginary_conductivity_vs_figure8_simulation,0.8726728396501459,figure8_simulation_all,1000000000.0,0.671867847,0.20080499265014584,0.2988757291285377,2.4810072333421635e-06,11,0
1000000000.0,imaginary_conductivity_vs_figure8_experiment,0.8726728396501459,figure8_experiment,859729899.463,0.867660244589902,0.005012595060243874,0.005777140408931687,2.4810072333421635e-06,11,0
1000000000.0,real_relative_permittivity_vs_figure8_simulation,15.686384688110628,figure8_simulation_all,1000000000.0,12.088737396091977,3.5976472920186513,0.2976032296955753,2.4810072333421635e-06,11,0
1000000000.0,real_relative_permittivity_vs_figure8_experiment,15.686384688110628,figure8_experiment,859729899.463,18.158700000000003,-2.472315311889375,-0.13615045746057672,2.4810072333421635e-06,11,0
