frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
0.023713737056616554,0.1489978042524532,2.998054985563635e-12,5.2281624026680284e-11,4.09364608219742e-09,3.501331783220882e-09,4.096644137182984e-09,3.5536134072475625e-09,2.2207814707878778e-06,3.872712890865207e-05,0.0030323304312573486,0.002593579098682135,0.0030345512127281362,0.0026323062275907874,0.046034551212728134,0.002632306333081233
0.03162277660168379,0.198691765315922,5.309776543450873e-12,6.950813045957164e-11,4.710019967698829e-09,3.940042834749406e-09,4.71532974424228e-09,4.009550965208978e-09,3.9331678099636096e-06,5.1487504044127146e-05,0.0034889036797769103,0.0029185502479625236,0.0034928368475868744,0.0029700377520066506,0.04649283684758687,0.0029700378926804205
0.042169650342858224,0.2649597274431474,9.375052523930508e-12,9.21981445978623e-11,5.413475264558566e-09,4.416482367039144e-09,5.422850317082497e-09,4.508680511637007e-09,6.944483351059636e-06,6.829492192434246e-05,0.00400998167745079,0.003271468420028996,0.00401692616080185,0.0033397633419533384,0.047016926160801845,0.0033397635295448255
0.05623413251903491,0.35332947520558994,1.646484018364289e-11,1.2180811716339866e-10,6.213705313695679e-09,4.92860089879262e-09,6.230170153879321e-09,5.050409015956018e-09,1.219617791380955e-05,9.022823493585086e-05,0.004602744676811614,0.003650815480587126,0.004614940854725424,0.0037410437155229767,0.047614940854725424,0.0037410439656802453
0.07498942093324558,0.4711724278016739,2.8656618380122075e-11,1.59839301804432e-10,7.120347003153154e-09,5.472461476910286e-09,7.149003621533276e-09,5.632300778714718e-09,2.122712472601635e-05,0.00011839948281809779,0.005274331113446781,0.004053675168081694,0.005295558238172797,0.004172074650899792,0.048295558238172796,0.004172074984489871
0.1,0.6283185307179586,4.9144597978777385e-11,2.0740829288708961e-10,8.142446873014853e-09,6.0418955660304685e-09,8.19159147099363e-09,6.249303858917558e-09,3.6403405910205476e-05,0.00015363577250895527,0.006031442128159151,0.004475478197059606,0.006067845534069356,0.0046291139695685615,0.04906784553406935,0.004629114414418082
0.1333521432163324,0.8378762269377676,8.235978987614414e-11,2.6441853419846865e-10,9.287745712068026e-09,6.628259048303812e-09,9.37010550194417e-09,6.892677582502281e-09,6.1007251760106774e-05,0.00019586558088775457,0.006879811638568908,0.004909821517262083,0.006940818890329015,0.005105687098149838,0.04994081889032901,0.005105687691366207
0.1778279410038923,1.1173259061216543,1.334597071866064e-10,3.283892651461597e-10,1.0561789236885847e-08,7.220384712727731e-09,1.0695248944072453e-08,7.54877397787389e-09,9.88590423604492e-05,0.00024325130751567386,0.007823547582878405,0.00534843312053906,0.007922406625238855,0.005591684428054734,0.05092240662523885,0.005591685219121476
0.23713737056616552,1.4899780425245321,2.0672915539405367e-10,3.9352830359044575e-10,1.196691800839523e-08,7.804847743208268e-09,1.2173647163789284e-08,8.198376046798713e-09,0.00015313270769929903,0.00029150244710403393,0.008864383709922393,0.005781368698672792,0.009017516417621692,0.006072871145776825,0.05201751641762169,0.006072872200681279
0.31622776601683794,1.9869176531592203,3.0312911585897537e-10,4.5119552683727766e-10,1.3501256764181836e-08,8.366660521334289e-09,1.3804385880040811e-08,8.817856048171566e-09,0.00022454008582146326,0.00033421890876835387,0.01000093093643099,0.006197526312099474,0.010225471022252453,0.006531745220867828,0.053225471022252446,0.006531746627605526
