frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
1.0,6.283185307179586,7.673663062726771e-10,4.622526582553196e-10,,,7.673663062726771e-10,4.622526582553196e-10,0.000568419486127909,0.00034240937648542195,,,0.000568419486127909,0.00034240937648542195,0.043568419486127906,0.0003424138249806194
1.333521432163324,8.378762269377676,8.651316467202306e-10,4.266034732213047e-10,,,8.651316467202306e-10,4.266034732213047e-10,0.0006408382568298005,0.000316002572756522,,,0.0006408382568298005,0.000316002572756522,0.043640838256829795,0.0003160085049202087
1.7782794100389228,11.173259061216543,9.48408761177442e-10,3.8472270709045854e-10,,,9.48408761177442e-10,3.8472270709045854e-10,0.0007025250082795867,0.0002849797830299693,,,0.0007025250082795867,0.0002849797830299693,0.043702525008279584,0.00028498769369738464
2.371373705661655,14.89978042524532,1.0179627637780072e-09,3.410737766354752e-10,,,1.0179627637780072e-09,3.410737766354752e-10,0.0007540464916874128,0.00025264724195220387,,,0.0007540464916874128,0.00025264724195220387,0.04375404649168741,0.00025265779099674493
3.1622776601683795,19.869176531592203,1.0755754877425003e-09,2.985372991273159e-10,,,1.0755754877425003e-09,2.985372991273159e-10,0.0007967225835129632,0.00022113874009430806,,,0.0007967225835129632,0.00022113874009430806,0.043796722583512956,0.00022115280747129243
4.216965034285822,26.495972744314738,1.123217126399255e-09,2.5862678697588603e-10,,,1.123217126399255e-09,2.5862678697588603e-10,0.0008320126862216704,0.0001915753977599156,,,0.0008320126862216704,0.0001915753977599156,0.043832012686221666,0.00019159415690861857
5.623413251903491,35.332947520558996,1.162583634164875e-09,2.21923524735577e-10,,,1.162583634164875e-09,2.21923524735577e-10,0.0008611730623443519,0.0001643877961004274,,,0.0008611730623443519,0.0001643877961004274,0.04386117306234435,0.00016441281182727198
7.498942093324558,47.117242780167395,1.1949512729844134e-09,1.885285302715534e-10,,,1.1949512729844134e-09,1.885285302715534e-10,0.0008851490910995656,0.00013965076316411364,,,0.0008851490910995656,0.00013965076316411364,0.043885149091099564,0.000139684122172002
10.0,62.83185307179586,1.2212530355740874e-09,1.583898682747256e-10,,,1.2212530355740874e-09,1.583898682747256e-10,0.0009046318782030278,0.0001173258283516486,,,0.0009046318782030278,0.0001173258283516486,0.043904631878203024,0.00011737031330362344
13.33521432163324,83.78762269377677,1.242231029113348e-09,1.3145520371375268e-10,,,1.242231029113348e-09,1.3145520371375268e-10,0.0009201711326765541,9.737422497315014e-05,,,0.0009201711326765541,9.737422497315014e-05,0.04392017113267655,9.743354661001734e-05
17.78279410038923,111.73259061216542,1.2585611502289801e-09,1.0770001468224238e-10,,,1.2585611502289801e-09,1.0770001468224238e-10,0.0009322675186881335,7.977778865351288e-05,,,0.0009322675186881335,7.977778865351288e-05,0.04393226751868813,7.985689532766628e-05
23.71373705661655,148.9978042524532,1.270921426819508e-09,8.709628556363262e-11,,,1.270921426819508e-09,8.709628556363262e-11,0.0009414232791255616,6.451576708417232e-05,,,0.0009414232791255616,6.451576708417232e-05,0.043941423279125556,6.462125752958306e-05
31.622776601683793,198.691765315922,1.2800055011184264e-09,6.956417782500751e-11,,,1.2800055011184264e-09,6.956417782500751e-11,0.0009481522230506863,5.1529020611116676e-05,,,0.0009481522230506863,5.1529020611116676e-05,0.04394815222305068,5.166969438096035e-05
42.169650342858226,264.9597274431474,1.2864938711535524e-09,5.493786306100389e-11,,,1.2864938711535524e-09,5.493786306100389e-11,0.0009529584230767056,4.06947133785214e-05,,,0.0009529584230767056,4.06947133785214e-05,0.0439529584230767,4.088230486555115e-05
56.23413251903491,353.3294752055899,1.291008428364386e-09,4.296382035573562e-11,,,1.291008428364386e-09,4.296382035573562e-11,0.0009563025395291748,3.1825052115359724e-05,,,0.0009563025395291748,3.1825052115359724e-05,0.043956302539529174,3.2075209383805284e-05
74.98942093324558,471.17242780167396,1.294078385857553e-09,3.332720131687851e-11,,,1.294078385857553e-09,3.332720131687851e-11,0.0009585765821167059,2.468681579028038e-05,,,0.0009585765821167059,2.468681579028038e-05,0.0439585765821167,2.5020405869163965e-05
100.0,628.3185307179587,1.2961284321841563e-09,2.568612534203369e-11,,,1.2961284321841563e-09,2.568612534203369e-11,0.000960095134951227,1.902675951261755e-05,,,0.000960095134951227,1.902675951261755e-05,0.04396009513495122,1.9471609032365864e-05
133.3521432163324,837.8762269377677,1.297481985769791e-09,1.9700446825315927e-11,,,1.297481985769791e-09,1.9700446825315927e-11,0.0009610977672368823,1.4592923574308095e-05,,,0.0009610977672368823,1.4592923574308095e-05,0.043961097767236876,1.5186139942980034e-05
177.82794100389228,1117.3259061216543,1.298372099516105e-09,1.505361969836083e-11,,,1.298372099516105e-09,1.505361969836083e-11,0.0009617571107526703,1.1150829406193208e-05,,,0.0009617571107526703,1.1150829406193208e-05,0.04396175711075267,1.194189614772734e-05
237.13737056616552,1489.978042524532,1.298957612873192e-09,1.146790627620212e-11,,,1.298957612873192e-09,1.146790627620212e-11,0.0009621908243505126,8.49474538977935e-06,,,0.0009621908243505126,8.49474538977935e-06,0.04396219082435051,9.549649843886718e-06
