index,title,doi,status,source_url,local_path,note
11,Generalized network modeling: Network extraction as a coarse-scale discretization of the void space of porous media,10.1103/PhysRevE.96.013312,manual,https://link.aps.org/pdf/10.1103/PhysRevE.96.013312; http://link.aps.org/pdf/10.1103/PhysRevE.96.013312,,all legal candidates failed PDF validation: https://link.aps.org/pdf/10.1103/PhysRevE.96.013312 | http://link.aps.org/pdf/10.1103/PhysRevE.96.013312
12,Digital rock physics benchmarks—Part I: Imaging and segmentation,10.1016/j.cageo.2012.09.005,manual,,,no legal OA PDF candidate found
13,Digital rock physics benchmarks—part II: Computing effective properties,10.1016/j.cageo.2012.09.008,manual,,,no legal OA PDF candidate found
14,Pore-scale imaging and modelling,10.1016/j.advwatres.2012.03.003,manual,https://doi.org/10.1016/j.advwatres.2012.03.003,,all legal candidates failed PDF validation: https://doi.org/10.1016/j.advwatres.2012.03.003
15,PoreSpy: A Python Toolkit for Quantitative Analysis of Porous Media Images,10.21105/joss.01296,downloaded,https://www.theoj.org/joss-papers/joss.01296/10.21105.joss.01296.pdf,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\sip模拟\docs\literature_review\ct_sip_nmr_framework\papers\2019_gostick_joss_porespy.pdf,downloaded bytes=147756 final_url=https://www.theoj.org/joss-papers/joss.01296/10.21105.joss.01296.pdf content_type=application/pdf
16,New Pore-Size Parameter Characterizing Transport in Porous Media,10.1103/PhysRevLett.57.2564,manual,,,no legal OA PDF candidate found
17,Determination of permeability from spectral induced polarization in granular media,10.1111/j.1365-246X.2010.04573.x,manual,https://academic.oup.com/gji/article-pdf/181/3/1480/6064289/181-3-1480.pdf,,all legal candidates failed PDF validation: https://academic.oup.com/gji/article-pdf/181/3/1480/6064289/181-3-1480.pdf
18,Predicting permeability from the characteristic relaxation time and intrinsic formation factor of complex conductivity spectra,10.1002/2015WR017074,manual,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2015WR017074; https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2015WR017074,,all legal candidates failed PDF validation: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2015WR017074 | https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2015WR017074
19,Permeability estimation from induced polarization: an evaluation of geophysical length scales using an effective hydraulic radius concept,10.1002/nsg.12071,manual,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/nsg.12071; https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/nsg.12071,,all legal candidates failed PDF validation: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/nsg.12071 | https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/nsg.12071
20,Estimating pore-size distribution in carbonate reservoir rocks using joint inversion of NMR and complex conductivity data,10.1190/segam2018-2997894.1,manual,,,no legal OA PDF candidate found
21,Complex conductivity of soils,10.1002/2017WR020655,manual,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017WR020655; https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017WR020655,,all legal candidates failed PDF validation: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017WR020655 | https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017WR020655
22,"Review of pore network modelling of porous media: Experimental characterisations, network constructions and applications to reactive transport",10.1016/j.jconhyd.2016.07.002,manual,https://doi.org/10.1016/j.jconhyd.2016.07.002,,all legal candidates failed PDF validation: https://doi.org/10.1016/j.jconhyd.2016.07.002
23,An overview of the spectral induced polarization method for near‐surface applications,10.3997/1873-0604.2012027,downloaded,https://www.osti.gov/servlets/purl/1172258,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\sip模拟\docs\literature_review\ct_sip_nmr_framework\papers\2012_kemna_nsg_sip_overview.pdf,downloaded bytes=737198 final_url=https://www.osti.gov/servlets/purl/1172258 content_type=application/pdf
24,High-resolution X-ray computed tomography in geosciences: A review of the current technology and applications,10.1016/j.earscirev.2013.04.003,downloaded,https://biblio.ugent.be/publication/3232121/file/3232122.pdf,C:\Users\imgw\Documents\Codex\论文复现\pore-scale-simulation-reproduction\sip模拟\docs\literature_review\ct_sip_nmr_framework\papers\2013_cnudde_boone_esr_xray_ct_geosciences_review.pdf,downloaded bytes=1382152 final_url=https://backoffice.biblio.ugent.be/download/3232121/3232122 content_type=application/pdf
25,Characterization and Analysis of Porosity and Pore Structures,10.2138/rmg.2015.80.04,manual,https://pubs.geoscienceworld.org/msa/rimg/article-pdf/80/1/61/2951260/61_REV080C04.pdf,,all legal candidates failed PDF validation: https://pubs.geoscienceworld.org/msa/rimg/article-pdf/80/1/61/2951260/61_REV080C04.pdf
26,Spectral induced polarization of partially saturated clay-rocks: a mechanistic approach,10.1111/j.1365-246X.2009.04426.x,manual,https://academic.oup.com/gji/article-pdf/180/1/210/5985599/180-1-210.pdf,,all legal candidates failed PDF validation: https://academic.oup.com/gji/article-pdf/180/1/210/5985599/180-1-210.pdf
27,Salinity dependence of spectral induced polarization in sands and sandstones,10.1111/j.1365-246X.2011.05181.x,manual,https://academic.oup.com/gji/article-pdf/187/2/813/5876384/187-2-813.pdf; https://doi.org/10.1111/j.1365-246x.2011.05181.x; https://insu.hal.science/insu-00681413,,all legal candidates failed PDF validation: https://academic.oup.com/gji/article-pdf/187/2/813/5876384/187-2-813.pdf | https://doi.org/10.1111/j.1365-246x.2011.05181.x | https://insu.hal.science/insu-00681413
28,Anomalous solute transport in saturated porous media: Relating transport model parameters to electrical and nuclear magnetic resonance properties,10.1002/2014WR015284,manual,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015284; https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015284,,all legal candidates failed PDF validation: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015284 | https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015284
29,Permeability Prediction in Rocks Experiencing Mineral Precipitation and Dissolution: A Numerical Study,10.1029/2018WR024174,manual,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018WR024174; https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018WR024174; https://doi.org/10.1029/2018wr024174; https://scholarworks.boisestate.edu/geo_facpubs/715; http://hdl.handle.net/1808/31474,,all legal candidates failed PDF validation: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018WR024174 | https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018WR024174 | https://doi.org/10.1029/2018wr024174
30,On the use of the Cole–Cole equations in spectral induced polarization,10.1093/gji/ggt251,manual,https://academic.oup.com/gji/article-pdf/195/1/352/33388475/ggt251.pdf; https://doi.org/10.1093/gji/ggt251; http://gji.oxfordjournals.org/cgi/content/short/195/1/352,,all legal candidates failed PDF validation: https://academic.oup.com/gji/article-pdf/195/1/352/33388475/ggt251.pdf | https://doi.org/10.1093/gji/ggt251 | http://gji.oxfordjournals.org/cgi/content/short/195/1/352
