frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
2.371373705661655,14.89978042524532,all,paper,0.0205859319583337,0.0082338680853591,0.0635859319583337,0.00823387863440364,0.0,9.230413973439476e-10
3.1622776601683795,19.869176531592203,all,paper,0.0221378023264382,0.0082999617556997,0.0651378023264382,0.008299975823076684,0.0,1.230895486132137e-09
4.216965034285822,26.495972744314734,all,paper,0.0236876726441483,0.0083559828736881,0.0666876726441483,0.008356001632836804,0.0,1.6414255115102978e-09
5.623413251903491,35.332947520559,all,paper,0.0252423350694341,0.0084093258841048,0.0682423350694341,0.008409350899831644,0.0,2.1888760988986305e-09
7.498942093324558,47.1172427801674,all,paper,0.0268111320063978,0.0084609750926061,0.0698111320063978,0.008461008451613988,0.0,2.918913190231371e-09
10.0,62.83185307179586,all,paper,0.0284028914148794,0.0085045949788093,0.0714028914148794,0.008504639463761276,0.0,3.892433297797754e-09
13.33521432163324,83.78762269377677,all,paper,0.0300224196614504,0.0085270929244078,0.0730224196614504,0.008527152246044667,0.0,5.190643225879471e-09
17.78279410038923,111.73259061216542,all,paper,0.0316674321368549,0.0085109958412406,0.0746674321368549,0.008511074947914754,0.0,6.921833988423649e-09
23.71373705661655,148.9978042524532,all,paper,0.0333270509107602,0.0084382615444238,0.0763270509107602,0.00843836703486921,0.0,9.230413973439476e-09
31.622776601683796,198.691765315922,all,paper,0.0349825195952542,0.0082943656673143,0.0779825195952542,0.008294506341084144,0.0,1.2308954861321369e-08
42.16965034285823,264.9597274431474,all,paper,0.0366098122653528,0.0080713643043433,0.0796098122653528,0.00807155189583033,0.0,1.6414255115102982e-08
56.23413251903491,353.3294752055899,all,paper,0.0381831284812241,0.0077692858503504,0.0811831284812241,0.007769536007618846,0.0,2.1888760988986297e-08
74.98942093324558,471.172427801674,all,paper,0.0396783792489262,0.0073959723974283,0.0826783792489262,0.007396305987507183,0.0,2.918913190231371e-08
100.0,628.3185307179587,all,paper,0.0410762220933291,0.0069656894061814,0.0840762220933291,0.006966134255701148,0.0,3.892433297797754e-08
133.3521432163324,837.8762269377677,all,paper,0.0423643455903691,0.0064966748483223,0.0853643455903691,0.006497268064690972,0.0,5.190643225879471e-08
177.82794100389228,1117.3259061216545,all,paper,0.0435385628004169,0.0060077867735166,0.0865385628004169,0.006008577840258134,0.0,6.92183398842365e-08
237.13737056616552,1489.978042524532,all,paper,0.0446020510982602,0.0055146901443685,0.08760205109826019,0.005515745048822607,0.0,9.230413973439476e-08
316.227766016838,1986.9176531592204,all,paper,0.0455621468609393,0.0050268568785983,0.0885621468609393,0.0050282636162967366,0.0,1.230895486132137e-07
